value,encoded,weight
Giuseppe,GPP,34946
Francesco,FNC,34631
Antonio,NTN,32614
Marco,MRC,31959
Andrea,NDR,31369
Alessandro,LSN,24111
Luca,LCU,23093
Giovanni,GNN,21627
Roberto,RRT,18961
Stefano,SFN,17764
Paolo,PLA,17626
Michele,MHL,16945
Salvatore,SVT,16324
Davide,DVD,14999
Matteo,MTT,14962
Vincenzo,VCN,14608
Fabio,FBA,14557
Luigi,LGU,14431
Mario,MRA,14383
Massimo,MSM,14065
Simone,SMN,13126
Daniele,DNL,13094
Angelo,NGL,12281
Nicola,NCL,11817
Lorenzo,LNZ,11187
Claudio,CLD,10431
Maurizio,MRZ,10128
Domenico,DNC,9765
Franco,FNC,9692
Riccardo,RCR,8757
Alberto,LRT,8712
Mauro,MRA,8403
Alessio,LSS,8364
Carlo,CRL,8361
Pietro,PTR,8318
Gabriele,GRL,8146
Federico,FRC,8058
Gianluca,GLC,7774
Giorgio,GRG,7540
Pasquale,PQL,7226
Gianni,GNN,7183
Fabrizio,FRZ,6948
Enrico,NRC,6773
Mattia,MTT,6752
Emanuele,MNL,6721
Raffaele,RFL,6569
Sergio,SRG,6284
Filippo,FPP,6227
Giacomo,GCM,5580
Enzo,NZE,5452
Luciano,LCN,5260
Cristian,CST,5232
Leonardo,LRD,5157
Massimiliano,MSM,4971
Gaetano,GTN,4839
Bruno,BRN,4564
Dario,DRA,4466
Diego,DGI,4440
Alex,LXA,4264
Vito,VTI,4182
Christian,CRS,4026
Mirko,MRK,4012
Carmine,CMN,4001
Ivan,VNI,3966
Manuel,MNL,3936
Tommaso,TMS,3816
Ciro,CRI,3806
Piero,PRI,3788
Giancarlo,GCR,3730
Marcello,MCL,3539
Vittorio,VTR,3422
Danilo,DNL,3315
Rosario,RSR,3281
Valerio,VLR,3255
Giulio,GLI,3241
Gennaro,GNR,3176
Carmelo,CML,3135
Rocco,RCC,3124
Antonino,NNN,3121
Aldo,LDA,3110
Gianfranco,GFR,2998
Sandro,SDR,2977
Renato,RNT,2938
Salvo,SLV,2924
Samuele,SML,2791
Edoardo,DRD,2659
Daniel,DNL,2650
Pino,PNI,2609
Umberto,MRT,2600
Alfredo,LRD,2531
Mimmo,MMM,2527
Giuliano,GLN,2392
Adriano,DRN,2388
Alfonso,LNS,2356
Nino,NNI,2323
Walter,WTR,2296
Peppe,PPP,2243
Gino,GNI,2235
Nicoló,NLÓ,2223
Flavio,FLV,2188
Guido,GDU,2168
Mohamed,MMD,2058
Cosimo,CSM,2018
Donato,DNT,2004
Sebastiano,SST,1991
Tony,TNY,1957
Armando,RND,1923
Jacopo,JCP,1891
Michael,MHL,1853
Emilio,MLE,1822
David,DVD,1778
Silvio,SLV,1763
Damiano,DMN,1741
Omar,MRO,1731
Corrado,CRD,1678
Cesare,CSR,1670
Antonello,NNL,1669
Dino,DNI,1668
Saverio,SVR,1664
Gerardo,GRD,1627
Tiziano,TZN,1603
Cristiano,CST,1593
Eugenio,GNE,1573
Thomas,TMS,1525
Lucio,LCU,1508
Max,MXA,1503
Felice,FLC,1487
Mirco,MRC,1476
Biagio,BGI,1469
Agostino,GTN,1459
Lino,LNI,1431
Loris,LRS,1428
Denis,DNS,1415
Silvano,SVN,1374
Nico,NCI,1371
Graziano,GZN,1369
Emiliano,MLN,1361
Pierluigi,PLG,1349
Ahmed,HMD,1338
Kevin,KVN,1332
Fausto,FST,1326
Renzo,RNZ,1317
Gigi,GGI,1299
Leo,LEO,1279
Tonino,TNN,1274
Nunzio,NNZ,1272
Valentino,VNT,1217
Ernesto,RST,1209
Elio,LEI,1204
Rino,RNI,1204
Ivano,VNI,1191
Fernando,FNN,1141
Ale,LAE,1132
Ignazio,GNZ,1116
Moreno,MRN,1096
Ugo,GUO,1095
Gianmarco,GMR,1094
Gabriel,GRL,1075
Ettore,TTR,1075
Mariano,MRN,1069
Elia,LEI,1061
Fulvio,FLV,1033
Ali,LAI,1019
Ferdinando,FDN,1002
Valter,VTR,1001
Orazio,RZO,988
Santo,SNT,955
Ezio,ZEI,945
Samuel,SML,926
Alfio,LFA,923
Patrizio,PRZ,909
Pippo,PPP,898
Giampiero,GPR,887
Calogero,CGR,881
Pierpaolo,PPL,875
Oscar,SCR,873
Niccolò,NCL,868
Attilio,TTL,861
Marino,MRN,850
Nicolas,NLS,829
Amedeo,MDA,820
Nello,NLL,808
Ciccio,CCC,806
Nicholas,NHL,796
William,WLM,790
Florin,FRN,780
Adrian,DRN,775
Gianluigi,GLG,753
Vasile,VSL,751
Beppe,BPP,750
Arturo,RTR,735
Augusto,GST,734
Igor,GRI,723
Martino,MTN,713
Natale,NTL,708
Andrei,NDR,704
Said,SDA,698
Ionut,NTI,698
Guglielmo,GLL,689
Giampaolo,GPL,682
Lello,LLL,680
Giordano,GDN,676
Livio,LVI,673
Robert,RRT,670
Simo,SMI,664
Benedetto,BDT,658
Toni,TNO,657
Aniello,NLL,653
Marius,MRS,638
Gaspare,GPR,629
Michelangelo,MHL,628
Anthony,NHN,616
Mihai,MHI,615
Aurelio,RLA,613
Costantino,CTN,609
Roby,RBY,607
Patrick,PRC,604
Marian,MRN,600
Ion,NIO,586
Romano,RMN,583
Jonathan,JTH,577
Gio,GIO,573
Md,MDX,563
Rodolfo,RLF,560
Italo,TLI,556
Nando,NND,555
Stefan,SFN,555
Yuri,YRU,554
Eduardo,DRD,553
Rachid,RHD,552
Gian,GNI,551
Gianpaolo,GPL,544
Egidio,GDE,544
Remo,RME,543
Romeo,RMO,540
Hassan,HSN,536
Ennio,NNE,532
Mohammed,MMM,532
Eros,RSE,516
Karim,KRM,512
Gregorio,GGR,506
John,JHN,499
Gioacchino,GCH,495
Pier,PRI,490
Manuele,MNL,490
Luis,LSU,488
Dennis,DNS,488
Emanuel,MNL,484
Martin,MTN,484
Carlos,CLS,477